state;year;distid;schoolid;distname;schoolname;ncesdistid;ncesid;ncesenroll;gradespan;level;enroll_raw_ND;enrollmetric;pp_stloc_raw_ND;pp_fed_raw_ND;pp_total_raw_ND;schoolstloc_raw_ND;schoolfed_raw_ND;schooltot_raw_ND;countenroll;noaudit;nositecen;adfinvars;distflex;flag_NERDS
ND;2018-2019;04001;71721;Billings Co Public School District;Prairie Elementary School;3802840;380284000816;39; PK-08;3;38;September Count;25331,78;128,64;25460,41;962607,64;4888,32;967495,58;1;0;1;0;0;0
ND;2018-2019;08001;09703;Bismarck Public School District;Bismarck High School;3800014;380001400045;1191; 09-12;4;1191;September Count;10172,48;434,95;10607,43;12115423,68;518025,45;12633449,13;1;0;1;0;0;0
ND;2018-2019;08001;13481;Bismarck Public School District;Centennial Elementary School;3800014;380001400821;436; KG-05;2;436;September Count;10545,26;433,41;10978,67;4597733,36;188966,76;4786700,12;1;0;1;0;0;0
ND;2018-2019;08001;13653;Bismarck Public School District;Century High School;3800014;380001400047;1257; 09-12;4;1257;September Count;10051,09;444,61;10495,69;12634220,13;558874,77;13193082,33;1;0;1;0;0;0
ND;2018-2019;08001;18971;Bismarck Public School District;Dorothy Moses Elementary School;3800014;380001400048;369; KG-05;2;369;September Count;11356,58;1740,55;13097,13;4190578,02;642262,95;4832840,97;1;0;1;0;0;0
ND;2018-2019;08001;32821;Bismarck Public School District;Grimsrud Elementary School;3800014;380001400049;254; KG-05;2;254;September Count;10244,53;930,65;11175,18;2602110,62;236385,1;2838495,72;1;0;1;0;0;0
ND;2018-2019;08001;36121;Bismarck Public School District;Highland Acres Elementary School;3800014;380001400050;172; KG-05;2;172;September Count;11199,51;433,41;11632,92;1926315,72;74546,52;2000862,24;1;0;1;0;0;0
ND;2018-2019;08001;37952;Bismarck Public School District;Horizon Middle School;3800014;380001400051;1084; 06-08;3;1084;September Count;9137,3;437,65;9574,94;9904833,2;474412,6;10379234,96;1;0;1;0;0;0
ND;2018-2019;08001;45801;Bismarck Public School District;Jeannette Myhre Elementary School;3800014;380001400052;273; KG-05;2;273;September Count;10825,77;2320,53;13146,31;2955435,21;633504,69;3588942,63;1;0;1;0;0;0
ND;2018-2019;08001;51993;Bismarck Public School District;Legacy High School;3800014;380001400866;1245; 09-12;4;1245;September Count;9758,54;435,03;10193,57;12149382,3;541612,35;12690994,65;1;0;1;0;0;0
ND;2018-2019;08001;52551;Bismarck Public School District;Liberty Elementary School;3800014;380001400865;614; KG-05;2;614;September Count;9595,87;433,41;10029,28;5891864,18;266113,74;6157977,92;1;0;1;0;0;0
ND;2018-2019;08001;52861;Bismarck Public School District;Lincoln Elementary School;3800014;380001400864;631; KG-05;2;631;September Count;9329,54;433,41;9762,94;5886939,74;273481,71;6160415,14;1;0;1;0;0;0
ND;2018-2019;08001;61321;Bismarck Public School District;Northridge Elementary School;3800014;380001400053;435; KG-05;2;435;September Count;10223,88;1220,62;11444,5;4447387,8;530969,7;4978357,5;1;0;1;0;0;0
ND;2018-2019;08001;70901;Bismarck Public School District;Pioneer Elementary School;3800014;380001400054;278; KG-05;2;278;September Count;10337,51;1337,02;11674,53;2873827,78;371691,56;3245519,34;1;0;1;0;0;0
ND;2018-2019;08001;52761;Bismarck Public School District;Prairie Rose Elementary School;3800014;380001400810;146; KG-05;2;146;September Count;11241,87;433,41;11675,27;1641313,02;63277,86;1704589,42;1;0;1;0;0;0
ND;2018-2019;08001;74721;Bismarck Public School District;Rita Murphy Elementary School;3800014;380001400056;612; KG-05;2;612;September Count;9700,48;433,41;10133,89;5936693,76;265246,92;6201940,68;1;0;1;0;0;0
ND;2018-2019;08001;61291;Bismarck Public School District;Robert Place Miller Elementary School;3800014;380001400727;355; KG-05;2;355;September Count;11455,17;1169,75;12624,92;4066585,35;415261,25;4481846,6;1;0;1;0;0;0
ND;2018-2019;08001;75611;Bismarck Public School District;Roosevelt Elementary School;3800014;380001400058;116; KG-05;2;116;September Count;12334,95;1169,97;13504,91;1430854,2;135716,52;1566569,56;1;0;1;0;0;0
ND;2018-2019;08001;79002;Bismarck Public School District;Simle Middle School;3800014;380001400060;1045; 06-08;3;1045;September Count;9217,28;439,16;9656,43;9632057,6;458922,2;10090969,35;1;0;1;0;0;0
ND;2018-2019;08001;80503;Bismarck Public School District;South Central Alternative High School;3800014;380001400739;101; 09-12;4;101;September Count;14541,38;433,41;14974,78;1468679,38;43774,41;1512452,78;1;0;1;0;0;0
ND;2018-2019;08001;82631;Bismarck Public School District;Sunrise Elementary School;3800014;380001400850;629; KG-05;2;629;September Count;9663,52;433,41;10096,93;6078354,08;272614,89;6350968,97;1;0;1;0;0;0
ND;2018-2019;08001;80381;Bismarck Public School District;Victor Solheim Elementary School;3800014;380001400811;546; KG-05;2;546;September Count;9753,13;433,41;10186,54;5325208,98;236641,86;5561850,84;1;0;1;0;0;0
ND;2018-2019;08001;91632;Bismarck Public School District;Wachter Middle School;3800014;380001400061;941; 06-08;3;941;September Count;9910,46;491,91;10402,37;9325742,86;462887,31;9788630,17;1;0;1;0;0;0
ND;2018-2019;08001;94141;Bismarck Public School District;Will-Moore Elementary School;3800014;380001400062;218; KG-05;2;218;September Count;12591,38;1720,23;14311,61;2744920,84;375010,14;3119930,98;1;0;1;0;0;0
ND;2018-2019;05001;10351;Bottineau Public School District;Bottineau Elementary School;3803060;380306000067;379; PK-06;2;376;September Count;8549,3;138,59;8687,9;3214536,8;52109,84;3266650,4;1;0;1;0;0;0
